osm_type,osm_id,name,operator,operator_wikidata,ref,lat,lon,footprint_m2,county_fips,state,first_seen
way,300162689,Level 3 Ashburn,Lumen Technologies,Q5063092,,39.022173,-77.457595,4554.4,51107,VA,2023-09-04
way,300163074,Centersquare IAD4-B,Centersquare,Q127304226,IAD4-B,39.022140,-77.453610,8364.0,51107,VA,2016-12-16
way,300163083,NTT Ashburn VA1 Data Center,NTT,Q1054787,VA1,39.022764,-77.454869,12867.7,51107,VA,2018-07-26
way,300952513,Digital Realty Phoenix PHX15,Digital Realty,Q5275969,PHX15,33.274974,-111.886626,27376.5,04013,AZ,2023-11-29
way,300959969,H5 Phoenix,H5,,Phoenix,33.276911,-111.885909,4731.2,04013,AZ,2021-08-29
way,300959970,CyrusOne PHX1,CyrusOne,,PHX1,33.270855,-111.881912,12760.7,04013,AZ,2023-11-29
way,300969250,Equinix DC13,Equinix,Q851641,DC13,39.012537,-77.475393,11669.9,51107,VA,2016-12-17
way,300969614,Digital Realty Northern Virginia IAD14,Digital Realty,Q5275969,IAD14,39.003336,-77.487093,12495.8,51107,VA,2016-12-16
way,300969615,Amazon Web Services Building C,Amazon Web Services,Q456157,,39.002752,-77.485449,10841.7,51107,VA,2016-12-16
way,300969616,Digital Realty Northern Virginia IAD12,Digital Realty,Q5275969,IAD12,39.002022,-77.483345,16747.6,51107,VA,2016-12-16
way,300969617,Digital Realty Building A,Digital Realty,Q5275969,,39.002755,-77.481954,12384.6,51107,VA,2016-12-16
way,300969619,Digital Realty Northern Virginia IAD24,Digital Realty,Q5275969,IAD24,39.004292,-77.484355,10630.8,51107,VA,2016-12-16
way,300970759,Databank Ashburn IAD1,DataBank,Q117314439,IAD1,39.015549,-77.482138,13446.8,51107,VA,2019-07-31
way,300970761,DataBank Ashburn IAD4,DataBank,Q117314439,IAD4,39.015490,-77.483376,7537.2,51107,VA,2021-04-17
way,300974499,Apple Data Center,Apple Inc.,Q312,,33.347019,-111.604056,124328.7,04013,AZ,2018-03-07
way,304754549,UHG Data Center,,,,44.808284,-93.634125,28092.0,27019,MN,
way,317466755,VISA,VISA,,,42.216757,-87.952847,5109.8,17097,IL,2019-06-03
way,318069356,John F. Simms Building,SONM,,Simms,35.672446,-105.956569,2905.2,35049,NM,2024-09-10
